Language,Total tokens,Article count,Avg tokens/article,Main categories %,Subcategories %,Random %,Execution time (min),Categories available,Categories coverage %,Main ordered %,Main random %,Limited articles count,Limited articles %,Culture tokens,Culture articles,History tokens,History articles,Geography tokens,Geography articles,Politics tokens,Politics articles,People tokens,People articles,Science tokens,Science articles,Sports tokens,Sports articles
ab,77488,240,322.8666666666667,3.3643919058434855,44.751445385091884,51.88416270906463,164.05498403310776,7,100.0,100.0,0.0,29,12.083333333333334,4734,15,6397,14,4766,9,6315,12,5810,14,4603,11,4659,13
kbd,59198,292,202.73287671232876,8.074597114767391,28.416500557451265,63.50890232778135,29.071526050567627,7,100.0,89.2050209205021,10.794979079497908,3,1.0273972602739725,972,3,7736,12,6379,35,51,1,5048,16,0,0,1416,1
koi,72445,343,211.20991253644314,2.4929256677479468,42.26240596314446,55.2446683691076,75.52048909664154,7,100.0,76.63344407530454,23.366555924695458,10,2.9154518950437316,6510,17,1499,4,7676,12,5356,28,6015,25,5367,26,0,0
