Language,Total tokens,Article count,Avg tokens/article,Main categories %,Subcategories %,Random %,Execution time (min),Categories available,Categories coverage %,Main ordered %,Main random %,Limited articles count,Limited articles %,Culture tokens,Culture articles,History tokens,History articles,Geography tokens,Geography articles,Politics tokens,Politics articles,People tokens,People articles,Science tokens,Science articles,Sports tokens,Sports articles
kv,56990,240,237.45833333333337,6.51342340761537,34.08492718020705,59.40164941217757,27.811480180422464,7,100.0,76.10452586206897,23.895474137931032,5,2.083333333333333,6342,28,1447,5,7155,21,2137,6,0,0,0,0,6056,10
mhr,54242,244,222.3032786885246,4.911323328785812,43.953025330924376,51.13565134028981,102.3698324362437,7,100.0,93.20570570570572,6.794294294294294,4,1.639344262295082,4000,11,714,2,2421,17,4135,29,4623,10,5259,12,5353,15
ab,77406,449,172.39643652561247,3.8394956463323258,45.828488747642304,50.33201560602537,156.4301154812177,7,100.0,100.0,0.0,13,2.89532293986637,5042,11,7100,19,5721,27,6112,8,5045,13,4700,14,4726,7
bxr,87801,288,304.8645833333333,19.234405075113038,35.193221033929,45.57237389095796,26.994255395730338,7,100.0,54.825911890099476,45.174088109900524,16,5.555555555555555,6030,21,9215,22,8651,31,8502,33,6355,17,8250,27,785,5
kbd,62009,276,224.67028985507247,7.057040107081231,28.286216516957214,64.65674337596155,32.83562117020289,7,100.0,85.92321755027422,14.076782449725778,7,2.536231884057971,972,3,7328,10,6899,22,0,0,5367,23,0,0,1350,2
koi,67424,366,184.21857923497268,2.423469387755102,41.74181300427148,55.83471760797342,62.67759763002395,7,100.0,100.0,0.0,5,1.366120218579235,5130,13,1903,5,6630,30,5903,40,5085,23,5127,26,0,0
myv,70520,320,220.375,5.985536018150879,37.234826999432784,56.779636982416335,76.2118645787239,7,100.0,74.05828002842928,25.94171997157072,4,1.25,5965,17,5726,29,4708,27,1250,1,6182,15,5142,16,1506,12
