Language,Total tokens,Article count,Avg tokens/article,Main categories %,Subcategories %,Random %,Execution time (min),Categories available,Categories coverage %,Main ordered %,Main random %,Limited articles count,Limited articles %,Culture tokens,Culture articles,History tokens,History articles,Geography tokens,Geography articles,Politics tokens,Politics articles,People tokens,People articles,Science tokens,Science articles,Sports tokens,Sports articles
ba,99511,240,414.62916666666666,21.25192189808162,38.07217292560621,40.67590517631216,47.20838006734848,7,100.0,45.59296387365235,54.40703612634764,34,14.166666666666666,9247,16,9636,14,7997,20,7348,14,6148,12,9242,11,9416,23
be,60720,204,297.6470588235294,20.35573122529644,39.721673254281946,39.9225955204216,49.59351518154144,7,100.0,45.33171521035599,54.66828478964402,12,5.88235294117647,3970,13,6395,19,4284,11,6111,13,6126,17,5133,15,4460,19
be-tarask,59481,188,316.38829787234044,21.585043963618634,38.03063163026849,40.384324406112874,83.52544035116831,7,100.0,54.10857543422385,45.89142456577615,12,6.382978723404255,5595,12,5565,17,5319,26,5516,17,4041,9,4460,9,4964,16
bg,98552,284,347.01408450704224,21.733704034418377,37.047447033038395,41.21884893254323,55.89847954909007,7,100.0,44.684625799523786,55.31537420047621,31,10.915492957746478,9285,20,8619,27,9130,21,8952,18,5562,20,8800,24,7582,22
cv,99954,479,208.6722338204593,23.11363227084459,36.750905416491584,40.135462312663826,53.10814212958018,7,100.0,32.000173137687746,67.99982686231225,8,1.6701461377870561,9382,33,8627,34,8757,38,8930,30,5939,27,8723,48,9479,46
kk,104740,450,232.75555555555556,25.772388772197825,35.8038953599389,38.42371586786328,45.975378219286604,7,100.0,35.50789064236497,64.49210935763503,24,5.333333333333334,9889,34,8772,25,9536,34,8745,24,8954,48,8971,23,9628,42
ky,102725,396,259.40656565656565,24.51399367242638,36.391336091506446,39.09467023606717,36.83490519920985,7,100.0,47.00976888253515,52.99023111746486,26,6.565656565656567,8850,25,9169,26,8915,51,9413,17,7589,15,9340,22,9289,28
mk,102053,221,461.7782805429864,22.97433686417842,36.9543276532782,40.07133548254338,69.54750940004985,7,100.0,47.33003497398277,52.66996502601723,48,21.71945701357466,9288,13,8314,20,9053,23,8940,18,6731,16,9740,17,9093,24
mn,101316,315,321.6380952380952,23.005250898179952,37.40475344466817,39.58999565715188,42.81769343217214,7,100.0,40.080659001201305,59.919340998798695,26,8.253968253968253,8180,18,9110,20,9021,39,9332,24,9463,35,9544,25,6555,19
ru,102519,221,463.8868778280543,23.00256537812503,37.76178074308177,39.2356538787932,55.24034036795298,7,100.0,44.07599016198795,55.92400983801205,36,16.289592760180994,9629,15,10081,16,9906,17,9193,14,5683,11,8697,18,9106,21
rue,85254,339,251.4867256637168,10.515635629999766,42.50240457925728,46.981959790742955,34.25052928129832,7,100.0,62.03011712214166,37.96988287785833,5,1.4749262536873156,9530,29,6086,16,6736,33,6210,14,5303,19,5916,28,5419,25
sah,102394,351,291.72079772079775,24.12250717815497,36.781452038205366,39.096040783639666,35.99613674879074,7,100.0,40.04453441295547,59.95546558704453,17,4.843304843304843,9385,35,9878,26,8795,43,9127,37,6426,23,9881,23,8870,36
sr,102521,220,466.00454545454545,24.413534787994653,36.449117741730966,39.13734747027438,69.74393945137659,7,100.0,46.08653961404771,53.91346038595229,53,24.09090909090909,9147,14,9646,14,9101,17,8757,12,7400,13,8915,17,9431,19
tg,96411,320,301.284375,20.056839987138396,38.185476760950515,41.75768325191109,48.914707565307616,7,100.0,41.268035372601744,58.73196462739825,26,8.125,7597,24,9140,26,9586,20,5937,20,5687,13,9261,33,8944,22
tt,101351,496,204.3366935483871,24.53157837613837,35.96511134571933,39.503310278142294,60.07402606805166,7,100.0,33.72078992880988,66.27921007119012,7,1.411290322580645,7351,22,9523,26,8660,34,8797,33,9018,36,8913,18,9052,46
tyv,99641,286,348.3951048951049,23.388966389337725,35.99321564416255,40.617817966499736,18.832212551434836,7,100.0,36.62304226560824,63.37695773439176,23,8.041958041958042,12874,38,15993,29,15138,47,0,0,0,0,0,0,15164,65
uk,101855,240,424.3958333333333,24.57316773845172,35.52010210593491,39.906730155613374,64.50632737080257,7,100.0,47.04542730432698,52.95457269567302,37,15.416666666666668,8799,14,7055,13,9215,17,8955,17,8839,17,9001,13,9344,19
